X,A* DH=6,A* cache ES
0,7.0,78.0
1,8.0,79.0
2,13.0,81.0
3,14.0,82.0
4,15.0,82.0
5,15.0,83.0
6,16.0,86.0
7,18.0,88.0
8,19.0,89.0
9,22.0,92.0
10,29.0,93.0
11,32.0,94.0
12,33.0,95.0
13,34.0,95.0
14,36.0,101.0
15,40.0,101.0
16,41.0,106.0
17,49.0,106.0
18,52.0,106.0
19,75.0,106.0
20,80.0,108.0
21,81.0,109.0
22,92.0,110.0
23,97.0,113.0
24,115.0,114.0
25,124.0,115.0
26,126.0,116.0
27,128.0,118.0
28,130.0,121.0
29,137.0,124.0
30,140.0,126.0
31,141.0,130.0
32,147.0,130.0
33,153.0,131.0
34,157.0,138.0
35,161.0,140.0
36,164.0,141.0
37,165.0,145.0
38,167.0,148.0
39,168.0,154.0
40,169.0,158.0
41,169.0,162.0
42,172.0,163.0
43,189.0,165.0
44,198.0,166.0
45,199.0,168.0
46,201.0,169.0
47,207.0,173.0
48,208.0,173.0
49,209.0,174.0
50,212.0,176.0
51,220.0,179.0
52,224.0,180.0
53,228.0,184.0
54,229.0,185.0
55,234.0,188.0
56,235.0,191.0
57,235.0,199.0
58,236.0,199.0
59,244.0,200.0
60,248.0,201.0
61,255.0,205.0
62,255.0,208.0
63,259.0,209.0
64,261.0,210.0
65,261.0,212.0
66,267.0,213.0
67,267.0,214.0
68,268.0,214.0
69,272.0,215.0
70,273.0,215.0
71,275.0,215.0
72,276.0,215.0
73,293.0,225.0
74,293.0,230.0
75,294.0,234.0
76,299.0,234.0
77,300.0,236.0
78,305.0,236.0
79,305.0,241.0
80,306.0,241.0
81,306.0,242.0
82,307.0,244.0
83,307.0,244.0
84,308.0,246.0
85,310.0,246.0
86,311.0,246.0
87,314.0,247.0
88,314.0,248.0
89,317.0,248.0
90,318.0,249.0
91,320.0,251.0
92,322.0,251.0
93,323.0,252.0
94,324.0,257.0
95,324.0,261.0
96,324.0,263.0
97,337.0,266.0
98,345.0,267.0
99,345.0,269.0
100,348.0,270.0
101,353.0,270.0
102,353.0,271.0
103,354.0,272.0
104,357.0,275.0
105,365.0,276.0
106,366.0,278.0
107,371.0,284.0
108,373.0,285.0
109,373.0,288.0
110,375.0,288.0
111,377.0,290.0
112,380.0,295.0
113,388.0,296.0
114,389.0,297.0
115,391.0,298.0
116,392.0,300.0
117,401.0,300.0
118,402.0,301.0
119,403.0,301.0
120,404.0,304.0
121,406.0,309.0
122,408.0,310.0
123,408.0,310.0
124,409.0,311.0
125,410.0,312.0
126,414.0,314.0
127,420.0,314.0
128,424.0,315.0
129,424.0,317.0
130,427.0,318.0
131,430.0,319.0
132,431.0,322.0
133,432.0,325.0
134,432.0,326.0
135,440.0,326.0
136,440.0,329.0
137,447.0,331.0
138,449.0,333.0
139,450.0,334.0
140,451.0,339.0
141,452.0,340.0
142,458.0,343.0
143,459.0,344.0
144,460.0,344.0
145,461.0,345.0
146,464.0,348.0
147,468.0,350.0
148,469.0,353.0
149,472.0,353.0
150,472.0,359.0
151,473.0,360.0
152,475.0,360.0
153,476.0,362.0
154,477.0,363.0
155,479.0,365.0
156,479.0,366.0
157,481.0,366.0
158,486.0,367.0
159,495.0,367.0
160,500.0,370.0
161,518.0,373.0
162,519.0,374.0
163,519.0,377.0
164,519.0,377.0
165,526.0,379.0
166,526.0,380.0
167,528.0,382.0
168,529.0,386.0
169,529.0,387.0
170,533.0,388.0
171,533.0,389.0
172,537.0,389.0
173,537.0,395.0
174,541.0,395.0
175,541.0,398.0
176,542.0,399.0
177,542.0,401.0
178,548.0,402.0
179,553.0,403.0
180,554.0,403.0
181,556.0,405.0
182,556.0,406.0
183,563.0,410.0
184,569.0,412.0
185,574.0,414.0
186,577.0,415.0
187,578.0,416.0
188,583.0,416.0
189,586.0,419.0
190,591.0,420.0
191,593.0,427.0
192,598.0,427.0
193,603.0,428.0
194,604.0,431.0
195,605.0,431.0
196,605.0,432.0
197,607.0,433.0
198,609.0,437.0
199,624.0,440.0
200,634.0,441.0
201,635.0,442.0
202,636.0,445.0
203,639.0,447.0
204,639.0,449.0
205,646.0,453.0
206,647.0,454.0
207,647.0,456.0
208,658.0,461.0
209,658.0,462.0
210,658.0,462.0
211,660.0,463.0
212,665.0,467.0
213,671.0,470.0
214,674.0,470.0
215,677.0,470.0
216,680.0,473.0
217,685.0,473.0
218,688.0,474.0
219,689.0,477.0
220,694.0,482.0
221,694.0,485.0
222,695.0,491.0
223,698.0,493.0
224,699.0,494.0
225,701.0,494.0
226,702.0,497.0
227,704.0,498.0
228,704.0,500.0
229,710.0,504.0
230,712.0,505.0
231,713.0,506.0
232,718.0,507.0
233,719.0,508.0
234,719.0,509.0
235,719.0,511.0
236,721.0,514.0
237,728.0,518.0
238,731.0,520.0
239,731.0,520.0
240,742.0,524.0
241,745.0,524.0
242,745.0,525.0
243,748.0,526.0
244,749.0,528.0
245,755.0,529.0
246,755.0,533.0
247,757.0,535.0
248,759.0,540.0
249,764.0,542.0
250,773.0,542.0
251,773.0,542.0
252,777.0,547.0
253,778.0,556.0
254,779.0,557.0
255,780.0,557.0
256,784.0,558.0
257,786.0,562.0
258,786.0,564.0
259,789.0,567.0
260,791.0,567.0
261,797.0,567.0
262,798.0,571.0
263,798.0,575.0
264,799.0,576.0
265,800.0,581.0
266,803.0,582.0
267,806.0,585.0
268,809.0,585.0
269,810.0,587.0
270,814.0,588.0
271,818.0,590.0
272,825.0,591.0
273,826.0,597.0
274,826.0,597.0
275,828.0,598.0
276,831.0,601.0
277,832.0,602.0
278,839.0,609.0
279,841.0,617.0
280,842.0,628.0
281,843.0,631.0
282,848.0,634.0
283,849.0,634.0
284,850.0,636.0
285,851.0,636.0
286,851.0,637.0
287,852.0,641.0
288,852.0,641.0
289,858.0,641.0
290,860.0,645.0
291,860.0,651.0
292,861.0,657.0
293,861.0,659.0
294,864.0,660.0
295,865.0,666.0
296,865.0,668.0
297,866.0,668.0
298,868.0,677.0
299,868.0,678.0
300,868.0,679.0
301,869.0,681.0
302,872.0,682.0
303,873.0,683.0
304,876.0,686.0
305,876.0,687.0
306,877.0,688.0
307,877.0,689.0
308,885.0,693.0
309,889.0,694.0
310,891.0,699.0
311,899.0,705.0
312,902.0,710.0
313,904.0,710.0
314,906.0,712.0
315,907.0,714.0
316,909.0,715.0
317,910.0,716.0
318,911.0,721.0
319,915.0,723.0
320,916.0,725.0
321,919.0,726.0
322,922.0,728.0
323,925.0,731.0
324,927.0,732.0
325,931.0,738.0
326,936.0,738.0
327,937.0,740.0
328,942.0,740.0
329,943.0,744.0
330,946.0,746.0
331,952.0,746.0
332,953.0,746.0
333,954.0,747.0
334,955.0,752.0
335,955.0,752.0
336,960.0,756.0
337,971.0,761.0
338,972.0,761.0
339,973.0,761.0
340,973.0,763.0
341,977.0,764.0
342,981.0,766.0
343,988.0,766.0
344,989.0,771.0
345,989.0,772.0
346,990.0,773.0
347,990.0,777.0
348,990.0,777.0
349,991.0,778.0
350,993.0,780.0
351,994.0,781.0
352,995.0,783.0
353,995.0,784.0
354,1003.0,784.0
355,1004.0,788.0
356,1005.0,790.0
357,1007.0,793.0
358,1007.0,794.0
359,1008.0,795.0
360,1009.0,801.0
361,1023.0,804.0
362,1027.0,805.0
363,1028.0,808.0
364,1029.0,810.0
365,1030.0,812.0
366,1035.0,813.0
367,1037.0,815.0
368,1050.0,816.0
369,1063.0,817.0
370,1073.0,818.0
371,1079.0,820.0
372,1081.0,820.0
373,1082.0,825.0
374,1083.0,827.0
375,1085.0,828.0
376,1085.0,828.0
377,1085.0,829.0
378,1086.0,830.0
379,1086.0,831.0
380,1093.0,833.0
381,1096.0,834.0
382,1097.0,835.0
383,1098.0,835.0
384,1103.0,837.0
385,1103.0,837.0
386,1104.0,838.0
387,1105.0,839.0
388,1117.0,842.0
389,1117.0,844.0
390,1120.0,845.0
391,1122.0,846.0
392,1125.0,849.0
393,1128.0,849.0
394,1129.0,858.0
395,1130.0,858.0
396,1131.0,859.0
397,1134.0,865.0
398,1137.0,867.0
399,1138.0,870.0
400,1140.0,871.0
401,1143.0,871.0
402,1147.0,873.0
403,1148.0,875.0
404,1151.0,878.0
405,1151.0,880.0
406,1154.0,881.0
407,1154.0,884.0
408,1161.0,884.0
409,1162.0,885.0
410,1165.0,885.0
411,1174.0,889.0
412,1176.0,892.0
413,1177.0,898.0
414,1183.0,900.0
415,1185.0,900.0
416,1189.0,901.0
417,1190.0,901.0
418,1192.0,902.0
419,1194.0,902.0
420,1195.0,903.0
421,1197.0,906.0
422,1200.0,908.0
423,1208.0,914.0
424,1211.0,916.0
425,1214.0,918.0
426,1215.0,920.0
427,1215.0,920.0
428,1225.0,921.0
429,1227.0,921.0
430,1228.0,926.0
431,1233.0,928.0
432,1234.0,934.0
433,1237.0,936.0
434,1240.0,937.0
435,1241.0,938.0
436,1242.0,940.0
437,1244.0,942.0
438,1244.0,949.0
439,1246.0,950.0
440,1251.0,950.0
441,1251.0,950.0
442,1257.0,952.0
443,1260.0,952.0
444,1261.0,954.0
445,1262.0,956.0
446,1263.0,957.0
447,1265.0,957.0
448,1270.0,960.0
449,1272.0,965.0
450,1273.0,969.0
451,1277.0,969.0
452,1277.0,974.0
453,1281.0,975.0
454,1287.0,981.0
455,1287.0,982.0
456,1292.0,993.0
457,1293.0,994.0
458,1294.0,1002.0
459,1295.0,1011.0
460,1297.0,1013.0
461,1299.0,1014.0
462,1302.0,1015.0
463,1303.0,1020.0
464,1303.0,1024.0
465,1310.0,1029.0
466,1315.0,1030.0
467,1317.0,1031.0
468,1318.0,1034.0
469,1319.0,1036.0
470,1320.0,1038.0
471,1320.0,1039.0
472,1322.0,1054.0
473,1324.0,1054.0
474,1327.0,1061.0
475,1333.0,1062.0
476,1337.0,1064.0
477,1339.0,1066.0
478,1344.0,1068.0
479,1349.0,1069.0
480,1353.0,1071.0
481,1356.0,1076.0
482,1357.0,1076.0
483,1360.0,1092.0
484,1361.0,1094.0
485,1362.0,1097.0
486,1371.0,1101.0
487,1375.0,1102.0
488,1380.0,1106.0
489,1387.0,1107.0
490,1388.0,1109.0
491,1398.0,1118.0
492,1401.0,1119.0
493,1403.0,1124.0
494,1409.0,1125.0
495,1411.0,1127.0
496,1415.0,1131.0
497,1415.0,1137.0
498,1417.0,1145.0
499,1422.0,1147.0
500,1423.0,1149.0
501,1423.0,1150.0
502,1430.0,1152.0
503,1431.0,1155.0
504,1438.0,1158.0
505,1443.0,1159.0
506,1445.0,1163.0
507,1445.0,1169.0
508,1446.0,1174.0
509,1458.0,1177.0
510,1461.0,1180.0
511,1463.0,1181.0
512,1470.0,1183.0
513,1471.0,1190.0
514,1472.0,1190.0
515,1474.0,1194.0
516,1481.0,1201.0
517,1481.0,1208.0
518,1485.0,1211.0
519,1492.0,1211.0
520,1495.0,1211.0
521,1499.0,1212.0
522,1499.0,1218.0
523,1501.0,1220.0
524,1512.0,1221.0
525,1514.0,1222.0
526,1515.0,1226.0
527,1516.0,1227.0
528,1516.0,1230.0
529,1516.0,1236.0
530,1523.0,1237.0
531,1524.0,1247.0
532,1525.0,1248.0
533,1526.0,1248.0
534,1528.0,1248.0
535,1530.0,1250.0
536,1533.0,1255.0
537,1533.0,1255.0
538,1534.0,1261.0
539,1541.0,1261.0
540,1542.0,1263.0
541,1543.0,1264.0
542,1543.0,1266.0
543,1571.0,1269.0
544,1573.0,1283.0
545,1578.0,1287.0
546,1589.0,1287.0
547,1598.0,1287.0
548,1599.0,1291.0
549,1607.0,1295.0
550,1610.0,1296.0
551,1611.0,1297.0
552,1624.0,1306.0
553,1631.0,1309.0
554,1638.0,1310.0
555,1639.0,1310.0
556,1647.0,1313.0
557,1647.0,1314.0
558,1647.0,1314.0
559,1648.0,1321.0
560,1656.0,1322.0
561,1657.0,1323.0
562,1657.0,1330.0
563,1657.0,1331.0
564,1662.0,1331.0
565,1664.0,1331.0
566,1667.0,1337.0
567,1667.0,1342.0
568,1670.0,1347.0
569,1674.0,1349.0
570,1675.0,1361.0
571,1680.0,1365.0
572,1686.0,1365.0
573,1690.0,1371.0
574,1691.0,1374.0
575,1695.0,1376.0
576,1696.0,1384.0
577,1697.0,1384.0
578,1700.0,1389.0
579,1703.0,1390.0
580,1706.0,1396.0
581,1712.0,1397.0
582,1718.0,1399.0
583,1721.0,1399.0
584,1721.0,1408.0
585,1722.0,1418.0
586,1722.0,1421.0
587,1724.0,1430.0
588,1724.0,1430.0
589,1727.0,1432.0
590,1732.0,1433.0
591,1735.0,1437.0
592,1739.0,1443.0
593,1744.0,1443.0
594,1744.0,1449.0
595,1746.0,1452.0
596,1746.0,1454.0
597,1750.0,1464.0
598,1751.0,1468.0
599,1752.0,1473.0
600,1756.0,1475.0
601,1763.0,1477.0
602,1764.0,1480.0
603,1766.0,1481.0
604,1770.0,1483.0
605,1772.0,1487.0
606,1773.0,1495.0
607,1774.0,1496.0
608,1779.0,1497.0
609,1782.0,1497.0
610,1783.0,1498.0
611,1791.0,1499.0
612,1792.0,1507.0
613,1793.0,1517.0
614,1795.0,1539.0
615,1798.0,1540.0
616,1800.0,1540.0
617,1801.0,1545.0
618,1802.0,1545.0
619,1804.0,1546.0
620,1805.0,1554.0
621,1806.0,1556.0
622,1808.0,1556.0
623,1813.0,1558.0
624,1813.0,1560.0
625,1822.0,1560.0
626,1822.0,1562.0
627,1823.0,1563.0
628,1834.0,1564.0
629,1835.0,1565.0
630,1835.0,1574.0
631,1838.0,1576.0
632,1848.0,1579.0
633,1855.0,1581.0
634,1856.0,1590.0
635,1856.0,1599.0
636,1860.0,1599.0
637,1861.0,1602.0
638,1862.0,1602.0
639,1865.0,1603.0
640,1876.0,1604.0
641,1880.0,1606.0
642,1882.0,1607.0
643,1883.0,1608.0
644,1885.0,1609.0
645,1886.0,1612.0
646,1890.0,1612.0
647,1893.0,1615.0
648,1902.0,1616.0
649,1902.0,1621.0
650,1917.0,1628.0
651,1925.0,1632.0
652,1933.0,1632.0
653,1937.0,1634.0
654,1937.0,1634.0
655,1961.0,1635.0
656,1962.0,1636.0
657,1963.0,1636.0
658,1967.0,1639.0
659,1974.0,1640.0
660,1974.0,1644.0
661,1978.0,1645.0
662,1982.0,1673.0
663,1983.0,1675.0
664,1983.0,1676.0
665,1988.0,1682.0
666,1991.0,1687.0
667,1995.0,1687.0
668,2001.0,1689.0
669,2005.0,1690.0
670,2005.0,1692.0
671,2009.0,1694.0
672,2016.0,1702.0
673,2021.0,1718.0
674,2027.0,1718.0
675,2032.0,1724.0
676,2035.0,1732.0
677,2045.0,1739.0
678,2047.0,1740.0
679,2050.0,1741.0
680,2052.0,1741.0
681,2055.0,1743.0
682,2071.0,1747.0
683,2071.0,1747.0
684,2079.0,1747.0
685,2083.0,1750.0
686,2096.0,1762.0
687,2098.0,1763.0
688,2100.0,1767.0
689,2103.0,1785.0
690,2118.0,1790.0
691,2119.0,1791.0
692,2123.0,1791.0
693,2126.0,1792.0
694,2127.0,1793.0
695,2127.0,1795.0
696,2131.0,1797.0
697,2144.0,1800.0
698,2146.0,1800.0
699,2150.0,1801.0
700,2150.0,1809.0
701,2151.0,1809.0
702,2158.0,1827.0
703,2159.0,1829.0
704,2165.0,1833.0
705,2166.0,1837.0
706,2171.0,1839.0
707,2174.0,1843.0
708,2174.0,1851.0
709,2181.0,1853.0
710,2181.0,1856.0
711,2185.0,1860.0
712,2185.0,1860.0
713,2188.0,1899.0
714,2191.0,1901.0
715,2195.0,1909.0
716,2196.0,1909.0
717,2199.0,1912.0
718,2200.0,1918.0
719,2202.0,1919.0
720,2207.0,1920.0
721,2211.0,1921.0
722,2218.0,1925.0
723,2219.0,1930.0
724,2223.0,1931.0
725,2227.0,1939.0
726,2231.0,1949.0
727,2235.0,1953.0
728,2237.0,1961.0
729,2247.0,1971.0
730,2258.0,1972.0
731,2258.0,1972.0
732,2262.0,1975.0
733,2264.0,1979.0
734,2265.0,1984.0
735,2277.0,1987.0
736,2279.0,1989.0
737,2280.0,1997.0
738,2283.0,1998.0
739,2288.0,1998.0
740,2292.0,1999.0
741,2292.0,2001.0
742,2294.0,2010.0
743,2300.0,2013.0
744,2305.0,2025.0
745,2309.0,2037.0
746,2309.0,2040.0
747,2311.0,2041.0
748,2315.0,2047.0
749,2319.0,2048.0
750,2320.0,2048.0
751,2320.0,2054.0
752,2321.0,2062.0
753,2327.0,2104.0
754,2344.0,2112.0
755,2347.0,2116.0
756,2367.0,2120.0
757,2368.0,2130.0
758,2368.0,2131.0
759,2370.0,2137.0
760,2370.0,2138.0
761,2371.0,2143.0
762,2371.0,2143.0
763,2374.0,2145.0
764,2377.0,2149.0
765,2378.0,2150.0
766,2385.0,2151.0
767,2385.0,2156.0
768,2391.0,2157.0
769,2394.0,2159.0
770,2398.0,2160.0
771,2402.0,2169.0
772,2403.0,2181.0
773,2409.0,2184.0
774,2411.0,2186.0
775,2415.0,2190.0
776,2428.0,2204.0
777,2428.0,2206.0
778,2430.0,2211.0
779,2432.0,2217.0
780,2437.0,2218.0
781,2453.0,2226.0
782,2454.0,2229.0
783,2463.0,2230.0
784,2464.0,2247.0
785,2467.0,2247.0
786,2479.0,2250.0
787,2481.0,2252.0
788,2481.0,2259.0
789,2487.0,2269.0
790,2491.0,2274.0
791,2491.0,2277.0
792,2503.0,2278.0
793,2515.0,2278.0
794,2518.0,2284.0
795,2532.0,2285.0
796,2539.0,2286.0
797,2542.0,2294.0
798,2558.0,2297.0
799,2566.0,2298.0
800,2577.0,2299.0
801,2579.0,2311.0
802,2580.0,2312.0
803,2587.0,2324.0
804,2588.0,2326.0
805,2589.0,2326.0
806,2593.0,2329.0
807,2594.0,2332.0
808,2603.0,2334.0
809,2605.0,2338.0
810,2606.0,2344.0
811,2608.0,2348.0
812,2613.0,2353.0
813,2627.0,2356.0
814,2627.0,2364.0
815,2648.0,2365.0
816,2652.0,2373.0
817,2656.0,2375.0
818,2658.0,2385.0
819,2661.0,2393.0
820,2683.0,2395.0
821,2683.0,2396.0
822,2686.0,2401.0
823,2687.0,2402.0
824,2691.0,2405.0
825,2701.0,2413.0
826,2704.0,2415.0
827,2706.0,2417.0
828,2709.0,2423.0
829,2712.0,2423.0
830,2716.0,2424.0
831,2727.0,2426.0
832,2733.0,2432.0
833,2743.0,2439.0
834,2746.0,2441.0
835,2752.0,2441.0
836,2753.0,2443.0
837,2767.0,2445.0
838,2775.0,2445.0
839,2783.0,2453.0
840,2787.0,2456.0
841,2789.0,2460.0
842,2805.0,2464.0
843,2819.0,2479.0
844,2820.0,2485.0
845,2822.0,2498.0
846,2827.0,2502.0
847,2827.0,2503.0
848,2829.0,2512.0
849,2832.0,2512.0
850,2833.0,2513.0
851,2839.0,2522.0
852,2840.0,2525.0
853,2850.0,2530.0
854,2877.0,2531.0
855,2877.0,2552.0
856,2895.0,2559.0
857,2898.0,2578.0
858,2921.0,2582.0
859,2927.0,2598.0
860,2945.0,2599.0
861,2945.0,2601.0
862,2950.0,2602.0
863,2954.0,2605.0
864,2963.0,2612.0
865,2974.0,2616.0
866,2976.0,2626.0
867,2979.0,2628.0
868,2982.0,2628.0
869,2995.0,2643.0
870,3004.0,2651.0
871,3012.0,2658.0
872,3025.0,2659.0
873,3025.0,2664.0
874,3034.0,2685.0
875,3034.0,2696.0
876,3047.0,2702.0
877,3054.0,2705.0
878,3057.0,2713.0
879,3073.0,2720.0
880,3096.0,2722.0
881,3098.0,2726.0
882,3104.0,2732.0
883,3106.0,2786.0
884,3115.0,2789.0
885,3123.0,2800.0
886,3123.0,2819.0
887,3124.0,2828.0
888,3126.0,2835.0
889,3126.0,2857.0
890,3128.0,2864.0
891,3129.0,2865.0
892,3131.0,2879.0
893,3133.0,2885.0
894,3142.0,2893.0
895,3145.0,2898.0
896,3149.0,2900.0
897,3152.0,2912.0
898,3163.0,2918.0
899,3163.0,2923.0
900,3169.0,2929.0
901,3176.0,2954.0
902,3177.0,2955.0
903,3212.0,2958.0
904,3214.0,2960.0
905,3220.0,2961.0
906,3222.0,2962.0
907,3230.0,2964.0
908,3236.0,2979.0
909,3237.0,2983.0
910,3245.0,2983.0
911,3246.0,2988.0
912,3248.0,2999.0
913,3301.0,3007.0
914,3304.0,3015.0
915,3316.0,3026.0
916,3318.0,3038.0
917,3318.0,3040.0
918,3323.0,3044.0
919,3328.0,3044.0
920,3342.0,3051.0
921,3345.0,3054.0
922,3346.0,3056.0
923,3349.0,3064.0
924,3379.0,3068.0
925,3384.0,3072.0
926,3389.0,3072.0
927,3390.0,3075.0
928,3400.0,3085.0
929,3404.0,3091.0
930,3408.0,3095.0
931,3433.0,3096.0
932,3442.0,3102.0
933,3457.0,3106.0
934,3458.0,3114.0
935,3474.0,3117.0
936,3481.0,3121.0
937,3487.0,3123.0
938,3499.0,3129.0
939,3500.0,3130.0
940,3518.0,3131.0
941,3523.0,3138.0
942,3535.0,3151.0
943,3536.0,3152.0
944,3538.0,3157.0
945,3544.0,3164.0
946,3545.0,3183.0
947,3571.0,3194.0
948,3586.0,3200.0
949,3599.0,3207.0
950,3600.0,3209.0
951,3606.0,3211.0
952,3607.0,3212.0
953,3613.0,3213.0
954,3614.0,3250.0
955,3636.0,3270.0
956,3665.0,3285.0
957,3670.0,3288.0
958,3670.0,3290.0
959,3674.0,3303.0
960,3678.0,3311.0
961,3681.0,3319.0
962,3696.0,3320.0
963,3698.0,3326.0
964,3718.0,3326.0
965,3726.0,3327.0
966,3740.0,3332.0
967,3744.0,3347.0
968,3746.0,3348.0
969,3753.0,3351.0
970,3754.0,3353.0
971,3766.0,3360.0
972,3769.0,3369.0
973,3778.0,3380.0
974,3781.0,3382.0
975,3791.0,3384.0
976,3803.0,3393.0
977,3815.0,3403.0
978,3833.0,3411.0
979,3844.0,3421.0
980,3845.0,3428.0
981,3865.0,3432.0
982,3873.0,3448.0
983,3881.0,3465.0
984,3887.0,3466.0
985,3887.0,3478.0
986,3903.0,3492.0
987,3937.0,3494.0
988,3939.0,3503.0
989,3940.0,3510.0
990,3950.0,3511.0
991,3952.0,3522.0
992,3959.0,3525.0
993,3991.0,3543.0
994,3993.0,3559.0
995,4001.0,3562.0
996,4003.0,3587.0
997,4010.0,3591.0
998,4015.0,3592.0
999,4034.0,3603.0
1000,4055.0,3617.0
1001,4062.0,3633.0
1002,4080.0,3640.0
1003,4084.0,3647.0
1004,4097.0,3651.0
1005,4102.0,3659.0
1006,4115.0,3661.0
1007,4125.0,3661.0
1008,4129.0,3681.0
1009,4131.0,3687.0
1010,4133.0,3712.0
1011,4138.0,3716.0
1012,4146.0,3722.0
1013,4157.0,3722.0
1014,4158.0,3724.0
1015,4171.0,3725.0
1016,4183.0,3736.0
1017,4213.0,3742.0
1018,4224.0,3754.0
1019,4232.0,3756.0
1020,4254.0,3791.0
1021,4254.0,3791.0
1022,4282.0,3824.0
1023,4285.0,3875.0
1024,4286.0,3896.0
1025,4297.0,3927.0
1026,4298.0,3947.0
1027,4334.0,4010.0
1028,4351.0,4021.0
1029,4357.0,4025.0
1030,4360.0,4028.0
1031,4380.0,4030.0
1032,4385.0,4061.0
1033,4397.0,4075.0
1034,4404.0,4087.0
1035,4410.0,4098.0
1036,4413.0,4135.0
1037,4418.0,4146.0
1038,4424.0,4165.0
1039,4457.0,4171.0
1040,4463.0,4183.0
1041,4467.0,4198.0
1042,4472.0,4215.0
1043,4482.0,4222.0
1044,4486.0,4234.0
1045,4490.0,4255.0
1046,4501.0,4279.0
1047,4543.0,4339.0
1048,4552.0,4370.0
1049,4576.0,4380.0
1050,4580.0,4383.0
1051,4589.0,4386.0
1052,4614.0,4397.0
1053,4633.0,4441.0
1054,4646.0,4470.0
1055,4654.0,4479.0
1056,4654.0,4494.0
1057,4670.0,4497.0
1058,4689.0,4498.0
1059,4690.0,4504.0
1060,4698.0,4516.0
1061,4698.0,4518.0
1062,4700.0,4520.0
1063,4718.0,4531.0
1064,4774.0,4540.0
1065,4775.0,4562.0
1066,4785.0,4596.0
1067,4792.0,4602.0
1068,4818.0,4619.0
1069,4823.0,4624.0
1070,4831.0,4624.0
1071,4835.0,4653.0
1072,4838.0,4657.0
1073,4850.0,4666.0
1074,4855.0,4667.0
1075,4879.0,4680.0
1076,4902.0,4680.0
1077,4910.0,4681.0
1078,4926.0,4715.0
1079,4944.0,4748.0
1080,5001.0,4750.0
1081,5024.0,4761.0
1082,5049.0,4810.0
1083,5079.0,4843.0
1084,5101.0,4874.0
1085,5117.0,4889.0
1086,5124.0,4899.0
1087,5126.0,4909.0
1088,5150.0,4934.0
1089,5159.0,4945.0
1090,5164.0,4966.0
1091,5175.0,4966.0
1092,5203.0,4994.0
1093,5248.0,4998.0
1094,5264.0,5048.0
1095,5275.0,5071.0
1096,5279.0,5074.0
1097,5284.0,5075.0
1098,5310.0,5086.0
1099,5311.0,5103.0
1100,5315.0,5108.0
1101,5357.0,5116.0
1102,5358.0,5152.0
1103,5360.0,5202.0
1104,5364.0,5238.0
1105,5367.0,5246.0
1106,5374.0,5255.0
1107,5388.0,5268.0
1108,5391.0,5277.0
1109,5411.0,5283.0
1110,5414.0,5298.0
1111,5458.0,5312.0
1112,5471.0,5358.0
1113,5474.0,5363.0
1114,5482.0,5375.0
1115,5489.0,5397.0
1116,5533.0,5402.0
1117,5591.0,5444.0
1118,5597.0,5472.0
1119,5615.0,5505.0
1120,5621.0,5542.0
1121,5635.0,5574.0
1122,5671.0,5575.0
1123,5680.0,5603.0
1124,5694.0,5604.0
1125,5713.0,5610.0
1126,5720.0,5614.0
1127,5725.0,5650.0
1128,5747.0,5660.0
1129,5755.0,5681.0
1130,5772.0,5709.0
1131,5785.0,5710.0
1132,5805.0,5717.0
1133,5861.0,5722.0
1134,5881.0,5740.0
1135,5929.0,5745.0
1136,5935.0,5803.0
1137,5955.0,5803.0
1138,5976.0,5820.0
1139,5998.0,5847.0
1140,6000.0,5869.0
1141,6004.0,5871.0
1142,6039.0,5877.0
1143,6065.0,5944.0
1144,6154.0,5946.0
1145,6193.0,5986.0
1146,6203.0,5994.0
1147,6262.0,6049.0
1148,6266.0,6068.0
1149,6269.0,6121.0
1150,6273.0,6151.0
1151,6286.0,6169.0
1152,6324.0,6241.0
1153,6338.0,6250.0
1154,6554.0,6273.0
1155,6596.0,6330.0
1156,6619.0,6359.0
1157,6648.0,6383.0
1158,6673.0,6397.0
1159,6687.0,6443.0
1160,6723.0,6496.0
1161,6732.0,6530.0
1162,6784.0,6575.0
1163,6785.0,6710.0
1164,6884.0,6814.0
1165,6929.0,6871.0
1166,6978.0,6890.0
1167,7058.0,7022.0
1168,7112.0,7072.0
1169,7159.0,7222.0
1170,7307.0,7552.0
1171,7380.0,7607.0
1172,7644.0,7612.0
1173,7705.0,7663.0
1174,7853.0,7810.0
1175,8054.0,8141.0
1176,8102.0,8264.0
1177,8240.0,8443.0
1178,8859.0,8581.0
1179,9065.0,8587.0
